packet_id,timestep,routing_mode,src,dst,path,hop_count,end_to_end_latency_ms,base_latency_ms,queuing_delay_ms,path_loss_prob,delivered,demand_gbps,size_bytes,bottleneck_avail_bw_gbps,max_congestion
1561,32,rl_agent,3,9,"[3, 8, 9]",2,18.378709359898025,17.0,1.378709359898025,0.0,True,0.05,1500,3.382573462795963,0.6617426537204036
1562,32,rl_agent,6,1,"[6, 5, 2, 0, 1]",4,34.93456122653232,32.5,2.434561226532317,0.0,True,0.05,1500,3.5670544486590945,0.6432945551340905
1563,32,rl_agent,4,10,"[4, 5, 10]",2,12.208515738283786,11.25,0.9585157382837863,0.0,True,0.05,1500,4.627900911366518,0.5372099088633482
1564,32,rl_agent,7,2,"[7, 1, 2]",2,19.395864167995157,18.75,0.6458641679951569,0.0,True,0.05,1500,5.403473144592739,0.45965268554072614
1565,32,rl_agent,1,11,"[1, 2, 5, 10, 11]",4,26.208596323780313,23.75,2.458596323780313,0.0019465785564225513,True,0.05,1500,2.7040337265176744,0.7295966273482326
1566,32,rl_agent,1,5,"[1, 2, 5]",2,14.988978810761669,14.25,0.7389788107616688,0.0,True,0.05,1500,4.960759240047803,0.5039240759952197
1567,32,rl_agent,0,1,"[0, 1]",1,7.421644183503127,6.5,0.921644183503127,0.0,True,0.05,1500,3.5170544486590947,0.6482945551340905
1568,32,rl_agent,0,11,"[0, 3, 4, 5, 10, 11]",5,25.093875984880242,21.75,3.343875984880242,0.0026598369419388312,True,0.05,1500,2.6540337265176746,0.7345966273482325
1569,32,rl_agent,1,7,"[1, 7]",1,15.433973117068915,15.0,0.4339731170689145,0.0,True,0.05,1500,5.353473144592739,0.46465268554072614
1570,32,rl_agent,4,1,"[4, 3, 0, 1]",3,16.9373872611574,15.0,1.9373872611574008,0.0,True,0.05,1500,3.467054448659095,0.6532945551340905
1571,32,rl_agent,9,4,"[9, 4]",1,11.958487739741784,11.0,0.9584877397417841,0.0,True,0.05,1500,3.428208454385236,0.6571791545614765
