step,episode,current_rate,peak_rate,drop_pct
21416,9158,0.35,0.55,20.000000000000007
21419,9159,0.34,0.55,21.000000000000004
21422,9160,0.35,0.55,20.000000000000007
21435,9167,0.35,0.55,20.000000000000007
21676,9272,0.35,0.55,20.000000000000007
21680,9273,0.34,0.55,21.000000000000004
21682,9274,0.34,0.55,21.000000000000004
21683,9275,0.34,0.55,21.000000000000004
21685,9276,0.35,0.55,20.000000000000007
21686,9277,0.34,0.55,21.000000000000004
21688,9278,0.33,0.55,22.000000000000004
21691,9279,0.34,0.55,21.000000000000004
21693,9280,0.34,0.55,21.000000000000004
21695,9281,0.34,0.55,21.000000000000004
21698,9282,0.35,0.55,20.000000000000007
21699,9283,0.35,0.55,20.000000000000007
21711,9287,0.35,0.55,20.000000000000007
21713,9288,0.35,0.55,20.000000000000007
21716,9290,0.35,0.55,20.000000000000007
21717,9291,0.35,0.55,20.000000000000007
21720,9293,0.35,0.55,20.000000000000007
21721,9294,0.35,0.55,20.000000000000007
21722,9295,0.35,0.55,20.000000000000007
21724,9296,0.35,0.55,20.000000000000007
21752,9308,0.35,0.55,20.000000000000007
23886,10315,0.36,0.56,20.000000000000007
23887,10316,0.36,0.56,20.000000000000007
23888,10317,0.35,0.56,21.000000000000007
23890,10318,0.35,0.56,21.000000000000007
23893,10319,0.35,0.56,21.000000000000007
23895,10320,0.35,0.56,21.000000000000007
23898,10321,0.35,0.56,21.000000000000007
23899,10322,0.36,0.56,20.000000000000007
23901,10323,0.36,0.56,20.000000000000007
23903,10324,0.36,0.56,20.000000000000007
23907,10325,0.35,0.56,21.000000000000007
23909,10326,0.34,0.56,22.000000000000004
23912,10327,0.34,0.56,22.000000000000004
23918,10328,0.33,0.56,23.000000000000004
23919,10329,0.33,0.56,23.000000000000004
23920,10330,0.34,0.56,22.000000000000004
