step,episode,current_rate,drop_pct,peak_rate,incident_id
16463,6945,0.37,21.0,0.58,3
16467,6946,0.36,22.0,0.58,3
16471,6947,0.37,21.0,0.58,3
16473,6948,0.37,21.0,0.58,3
16476,6949,0.37,21.0,0.58,3
16478,6950,0.37,21.0,0.58,3
16480,6951,0.36,22.0,0.58,3
16482,6952,0.37,21.0,0.58,3
16484,6953,0.36,22.0,0.58,3
16485,6954,0.36,22.0,0.58,3
16486,6955,0.36,22.0,0.58,3
16489,6956,0.36,22.0,0.58,3
16490,6957,0.36,22.0,0.58,3
16491,6958,0.36,22.0,0.58,3
16496,6959,0.35,23.0,0.58,3
16497,6960,0.35,23.0,0.58,3
16499,6961,0.36,22.0,0.58,3
16500,6962,0.35,23.0,0.58,3
16501,6963,0.36,22.0,0.58,3
16504,6964,0.36,22.0,0.58,3
16508,6965,0.37,21.0,0.58,3
16530,6974,0.37,21.0,0.58,4
16531,6975,0.37,21.0,0.58,4
16536,6976,0.37,21.0,0.58,4
16538,6977,0.37,21.0,0.58,4
16541,6978,0.36,22.0,0.58,4
16542,6979,0.35,23.0,0.58,4
16545,6980,0.36,22.0,0.58,4
16549,6981,0.36,22.0,0.58,4
16551,6982,0.37,21.0,0.58,4
16553,6983,0.37,21.0,0.58,4
16556,6984,0.36,22.0,0.58,4
16559,6985,0.36,22.0,0.58,4
16560,6986,0.37,21.0,0.58,4
16563,6988,0.37,21.0,0.58,4
16564,6989,0.37,21.0,0.58,4
16567,6990,0.37,21.0,0.58,4
16569,6991,0.36,22.0,0.58,4
16571,6992,0.37,21.0,0.58,4
16576,6993,0.36,22.0,0.58,4
16579,6994,0.36,22.0,0.58,4
16581,6995,0.36,22.0,0.58,4
16584,6996,0.36,22.0,0.58,4
16586,6997,0.36,22.0,0.58,4
16588,6998,0.35,23.0,0.58,4
16589,6999,0.35,23.0,0.58,4
16591,7000,0.36,22.0,0.58,4
16592,7001,0.37,21.0,0.58,4
16597,7002,0.37,21.0,0.58,4
